"","Company_Name","Amount_Dollars","Sector","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Fund_Name","Fund_EIN","Date"
"47","Rehab and Mental Healthcare Group B.V.",579693,"NA","Netherlands","Europe","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands",NA,"N/A","[No verifiable details]","WPEF VII Feeder LP","98-1378508","Various"
"48","Rehab and Mental Healthcare Group B.V.",382935,"NA","Netherlands","Europe","Prins Bernhardplein 200 1097 JB Amsterdam, Netherlands",NA,"N/A","[No verifiable details]","WPEF VIII Feeder LP","98-1563212","Various"
"49","Apollo Topco B.V.",365946,"NA","Belgium","Europe","Antoon Catriestraat, 12 9031 Gent, Belgium","companyweb.been0769685496apollo-topco","N/A","[No verifiable details]","WPEF VIII Feeder LP","98-1563212","Various"
"50","Cross Ocean Aviation Fund | (Intl) DAC",2807638,"NA","Ireland","Europe","2 Grand Canal Square, Grand Canal Harbour Dublin 2 DO2 A342, Ireland",NA,"N/A","[No verifiable details]","Cross Ocean Aviation Fund | Cayman Feeder LP","98-1351135","Various"
"51","ADA Support, Inc.",192594,"Gen AI","Canada","North America","371 Front St W, Suite 314 Toronto, ON Canada M5V 3S8","ada.cx","N/A","AI customer service agents that automates responses to customer texts, emails, or phonecalls","Firstmark Capital of Ill, L.P.","84-3808939","Various"
"52","Synthesia Limited",167368,"Gen AI","United Kingdom","Europe","16 Dufours Place London, UK W1F 7SP","synthesia.io","N/A","AI video generation","Firstmark Capital V, L.P.","84-3747650","Various"
"53","Chargelab Inc.",109479,"Software & Tech","Canada","North America","2967 Dundas St. W. #872 Toronto, ON, Canada, M6P 122","chargelab.co","98-1484597","Software infrastructure for electric vehicle chargers in North America","Root Ventures II, LP","82-4045842","2/5/2021"
"54","Kuda Technologies Limited",175130,"Banking","United Kingdom","Europe","5 New Street Square London, UK EC4A 3TW","kuda.com","N/A","Mobile banking app based in Africa","Valar Fund VII LP","86-2223256","8/3/2021"
"55","Shopup PTE. Ltd.",287113,"Software & Tech","Singapore","Asia","1B Trengganu St Singapore 058455","shopup.org","N/A","Software infrastructure for small retailers in Bangladesh","Valar Fund VII LP","86-2223256","Various"
"56","DEFI Holding PTE. Ltd.",118634,"Cryptocurrency & Stock","Singapore","Asia","UOB Plaza, 80 Raffles Place #32-01 Singapore 048624","vauld.com","N/A","Cryptocurrency trading platform","Valar Fund VII LP","86-2223256","Various"
